City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tallahassee,US,30.4383,-84.2807,67.68,44,1,4.0,clear sky
80,Nauta,PE,-4.5061,-73.5757,90.39,48,83,4.09,broken clouds
81,Tuktoyaktuk,CA,69.4541,-133.0374,7.34,93,100,18.63,light snow
82,Kavieng,PG,-2.5744,150.7967,80.91,75,98,3.18,overcast clouds
83,Lucea,JM,18.451,-78.1736,84.85,64,75,11.68,broken clouds
84,Alice Town,BS,25.7167,-79.3,77.14,84,90,16.93,overcast clouds
85,Hithadhoo,MV,-0.6,73.0833,82.78,77,94,16.4,overcast clouds
86,Naze,JP,28.3667,129.4833,66.45,80,51,11.99,broken clouds
87,Jimbolia,RO,45.7914,20.7172,46.67,72,100,7.83,overcast clouds
88,Bam,IR,29.106,58.357,51.87,27,7,0.85,clear sky
89,Assiniboia,CA,49.6334,-105.9845,25.95,67,98,9.04,overcast clouds
90,Tiksi,RU,71.6872,128.8694,-7.74,93,100,6.93,overcast clouds
91,Merauke,ID,-8.4667,140.3333,78.8,88,99,12.1,moderate rain
92,Yellowknife,CA,62.456,-114.3525,7.83,84,100,12.19,overcast clouds
93,Pandan,PH,14.0453,124.1694,79.18,88,39,4.32,scattered clouds
94,Somerset East,ZA,-32.7217,25.588,57.11,74,9,12.03,clear sky
95,Odienne,CI,9.51,-7.5692,89.29,39,30,1.21,scattered clouds
96,Fort Portal,UG,0.6617,30.2748,61.56,94,96,1.92,light rain
97,Sisimiut,GL,66.9395,-53.6735,13.89,73,54,14.9,broken clouds
98,Ribeirao Bonito,BR,-22.0667,-48.1761,72.9,90,100,2.71,light rain
99,Muros,ES,42.7762,-9.0603,63.1,69,1,2.53,clear sky
100,Kralendijk,BQ,12.15,-68.2667,87.78,62,75,14.97,broken clouds
101,Andenes,NO,69.3143,16.1194,35.58,93,75,5.75,light rain
102,Airai,TL,-8.9266,125.4092,62.83,94,99,2.39,overcast clouds
103,Kavaratti,IN,10.5669,72.642,81.28,76,97,14.03,overcast clouds
104,Leningradskiy,RU,69.3833,178.4167,-3.24,79,63,5.41,broken clouds
105,Buala,SB,-8.145,159.5921,79.72,77,100,5.73,overcast clouds
106,Albany,US,42.6001,-73.9662,43.18,66,47,1.99,scattered clouds
107,Talnakh,RU,69.4865,88.3972,0.88,96,100,6.8,overcast clouds
108,Souillac,MU,-20.5167,57.5167,74.35,71,28,11.36,scattered clouds
109,Businga,CD,3.3333,20.8833,77.88,75,98,1.16,overcast clouds
110,Waipawa,NZ,-41.4122,175.5153,56.03,76,7,10.51,clear sky
111,Cap-Aux-Meules,CA,47.3821,-61.8597,42.85,100,75,4.61,broken clouds
112,Geraldton,AU,-28.7667,114.6,61.21,77,0,11.5,clear sky
113,Beringovskiy,RU,63.05,179.3167,11.34,95,99,11.68,light snow
114,Areka,ET,7.0667,37.7,65.43,42,6,3.18,clear sky
115,Darhan,MN,49.4867,105.9228,18.01,88,44,2.53,scattered clouds
116,Nikolskoye,RU,59.7035,30.7861,39.02,91,100,8.01,overcast clouds
117,Nyimba,ZM,-14.5566,30.8149,86.99,27,58,5.99,broken clouds
118,College,US,64.8569,-147.8028,-9.78,75,40,0.0,scattered clouds
119,Tamale,GH,9.4008,-0.8393,97.61,17,37,7.72,scattered clouds
120,Verkhoyansk,RU,67.5447,133.385,-19.59,99,93,1.54,overcast clouds
121,Vila Velha,BR,-20.3297,-40.2925,84.15,76,20,13.0,few clouds
122,Lock Haven,US,41.137,-77.4469,42.69,58,67,13.2,broken clouds
123,Yumen,CN,40.2833,97.2,29.88,41,47,10.49,scattered clouds
124,Birao,CF,10.2849,22.7882,84.29,23,5,6.08,clear sky
125,Ribeira Grande,PT,38.5167,-28.7,64.8,88,40,17.27,scattered clouds
126,Mayo,US,38.8876,-76.5119,49.08,44,1,8.99,clear sky
127,Kahului,US,20.8947,-156.47,76.84,82,20,0.0,few clouds
128,Makakilo City,US,21.3469,-158.0858,74.28,80,1,4.61,clear sky
129,Sitka,US,57.0531,-135.33,30.09,86,75,6.91,broken clouds
130,Ossora,RU,59.2353,163.0719,30.99,96,100,15.57,snow
131,Lang Son,VN,21.8333,106.7333,66.88,89,100,0.94,overcast clouds
132,Saskylakh,RU,71.9167,114.0833,-22.58,98,22,6.71,few clouds
133,Provideniya,RU,64.3833,-173.3,7.72,88,6,7.67,clear sky
134,Hobyo,SO,5.3505,48.5268,80.37,64,99,13.6,overcast clouds
135,Avarua,CK,-21.2078,-159.775,75.25,83,40,8.05,scattered clouds
136,Miquelon,PM,47.0975,-56.3814,51.8,94,100,38.01,overcast clouds
137,New Norfolk,AU,-42.7826,147.0587,51.66,71,100,1.66,overcast clouds
138,Flin Flon,CA,54.7682,-101.865,20.46,83,58,4.63,broken clouds
139,Thompson,CA,55.7435,-97.8558,25.68,90,99,6.13,overcast clouds
140,Kaitangata,NZ,-46.2817,169.8464,51.31,66,100,5.61,overcast clouds
141,Sobolevo,RU,54.4299,31.8996,34.29,99,100,8.16,overcast clouds
142,Saint-Georges,GD,12.0564,-61.7485,87.48,70,20,18.41,few clouds
143,Tarko-Sale,RU,64.9225,77.785,-19.62,100,87,4.16,overcast clouds
144,Rundu,NA,-17.9333,19.7667,83.84,35,75,4.41,light rain
145,Kemi,FI,65.8596,24.8228,17.37,93,0,2.3,clear sky
146,Mar Del Plata,AR,-38.0023,-57.5575,57.87,86,0,11.01,clear sky
147,Norman Wells,CA,65.282,-126.8329,-1.75,95,100,6.49,overcast clouds
148,Necochea,AR,-38.5473,-58.7368,65.03,47,0,11.01,clear sky
149,Oranjemund,NA,-28.55,16.4333,62.13,74,1,23.6,clear sky
150,Katsuura,JP,35.1333,140.3,53.71,64,63,8.79,broken clouds
151,Santa Cruz,BO,-17.8,-63.1667,86.67,41,77,12.41,broken clouds
152,Harstad,NO,68.799,16.5293,38.39,100,100,6.49,light snow
153,Fare,PF,-16.7,-151.0167,80.17,77,24,23.89,light rain
154,Micheweni,TZ,-4.9667,39.8333,80.69,75,9,11.03,clear sky
155,Sibu,MY,2.3,111.8167,74.03,98,94,1.95,overcast clouds
156,Mezen,RU,65.8522,44.24,28.42,96,100,9.51,light snow
157,Champerico,GT,14.3,-91.9167,91.76,68,100,3.8,overcast clouds
158,Hokitika,NZ,-42.7167,170.9667,53.13,83,80,2.84,broken clouds
159,Saint-Philippe,RE,-21.3585,55.7679,76.59,77,65,11.3,broken clouds
160,Klaksvik,FO,62.2266,-6.589,49.12,83,98,26.37,overcast clouds
161,Montlucon,FR,46.3333,2.6,44.11,94,1,1.01,clear sky
162,Dwarka,IN,22.2394,68.9678,78.44,72,77,11.68,broken clouds
163,Chunhuhub,MX,19.55,-88.6833,85.6,58,41,2.26,scattered clouds
164,Yagodnoye,RU,62.55,149.6667,-8.77,100,98,3.2,overcast clouds
165,Port Alfred,ZA,-33.5906,26.891,64.06,70,27,11.25,scattered clouds
166,Lebu,CL,-37.6167,-73.65,59.92,74,8,16.2,clear sky
167,Torbay,CA,47.6666,-52.7314,48.27,95,100,5.01,light rain
168,Matay,EG,28.419,30.7792,68.76,42,11,7.56,few clouds
169,The Valley,AI,18.217,-63.0578,85.86,61,40,11.5,scattered clouds
170,Jinchang,CN,38.4953,102.1739,31.15,41,78,7.4,broken clouds
171,Dokka,NO,60.84,10.0618,48.99,62,10,21.27,clear sky
172,Cunen,GT,15.3375,-91.0269,69.4,95,100,2.66,overcast clouds
173,Chanika,TZ,-5.4167,38.0167,71.98,76,11,8.75,few clouds
174,Itaituba,BR,-4.2761,-55.9836,94.1,43,86,3.27,overcast clouds
175,Kadoma,JP,34.7333,135.5833,57.18,65,9,0.69,clear sky
176,Bongaree,AU,-27.0797,153.1586,70.21,80,63,10.49,broken clouds
177,Solnechnyy,RU,50.7214,136.6319,10.0,93,60,3.69,broken clouds
178,Cockburn Town,TC,21.4612,-71.1419,81.43,76,25,18.45,scattered clouds
179,Svetlaya,RU,46.5389,138.3297,30.43,57,27,9.37,scattered clouds
180,Asfi,MA,32.2994,-9.2372,63.54,70,96,10.04,overcast clouds
181,Kattivakkam,IN,13.2167,80.3167,82.49,93,66,17.02,broken clouds
182,Bandarbeyla,SO,9.4942,50.8122,78.4,71,86,16.4,overcast clouds
183,Cidreira,BR,-30.1811,-50.2056,67.3,66,92,7.25,overcast clouds
184,Marsa Matruh,EG,31.3525,27.2453,67.48,68,4,11.59,clear sky
185,Severo-Kurilsk,RU,50.6789,156.125,36.77,89,76,9.42,broken clouds
186,Bilma,NE,18.6853,12.9164,84.92,16,19,6.93,few clouds
187,Yeppoon,AU,-23.1333,150.7333,69.58,74,0,8.48,clear sky
188,Madang,PG,-5.2246,145.7966,75.87,92,100,3.69,overcast clouds
189,Scarborough,GB,54.2797,-0.4044,53.53,85,10,4.0,clear sky
190,Ewa Beach,US,21.3156,-158.0072,75.69,80,1,4.61,clear sky
191,Kruisfontein,ZA,-34.0033,24.7314,61.88,65,5,8.34,clear sky
192,Boa Vista,BR,2.8197,-60.6733,91.38,46,75,14.97,broken clouds
193,Jamestown,US,42.097,-79.2353,36.72,86,90,10.0,light snow
194,San Quintin,MX,30.4833,-115.95,65.28,73,95,5.93,overcast clouds
195,Isparta,TR,38.0,31.0,43.56,78,90,10.96,overcast clouds
196,Barbate,ES,36.1924,-5.9219,68.09,69,14,30.82,few clouds
197,Khatanga,RU,71.9667,102.5,-15.66,85,75,6.89,broken clouds
198,Macomb,US,40.4592,-90.6718,37.44,60,1,10.36,clear sky
199,Saldanha,ZA,-33.0117,17.9442,62.98,76,0,26.51,clear sky
200,Berwick,US,41.0545,-76.2333,43.48,60,59,4.0,broken clouds
201,Kazanskaya,RU,45.4106,40.4361,44.83,89,100,5.06,light rain
202,Chokurdakh,RU,70.6333,147.9167,-21.84,100,93,2.24,overcast clouds
203,Koroni,GR,36.8,21.95,58.06,76,50,6.4,scattered clouds
204,Trzebiatow,PL,54.0615,15.2648,55.67,81,100,28.63,overcast clouds
205,Port Elizabeth,ZA,-33.918,25.5701,64.09,71,6,10.0,clear sky
206,Minab,IR,27.1467,57.0801,69.3,29,0,5.82,clear sky
207,Faanui,PF,-16.4833,-151.75,80.1,78,32,22.77,light rain
208,Inta,RU,66.0317,60.1659,12.13,94,100,14.41,light snow
209,Alberdi,AR,-32.8899,-60.6906,95.94,27,0,1.01,clear sky
210,Karratha,AU,-20.7377,116.8463,78.85,65,20,11.92,light rain
211,Namatanai,PG,-3.6667,152.4333,78.53,82,96,0.65,overcast clouds
212,Sorong,ID,-0.8833,131.25,81.57,75,49,8.93,scattered clouds
213,Krasnobrodskiy,RU,54.1581,86.4486,1.69,87,98,14.85,overcast clouds
214,Homer,US,59.6425,-151.5483,9.77,65,1,6.91,clear sky
215,Manggar,ID,-2.8833,108.2667,78.51,85,99,4.61,light rain
216,Xiaoyi,CN,34.6178,109.703,53.44,66,100,4.43,overcast clouds
217,Faya,SA,18.3851,42.4509,59.52,81,28,8.03,scattered clouds
218,Victoria,HK,22.2855,114.1577,75.33,81,27,1.99,scattered clouds
219,Nsanje,MW,-16.92,35.262,86.31,58,34,12.82,scattered clouds
220,Srednebelaya,RU,50.6594,128.0106,1.6,93,6,4.12,clear sky
221,Bjornevatn,NO,69.6672,29.9847,25.14,100,75,3.44,light snow
222,Belmonte,BR,-15.8631,-38.8828,86.5,65,18,11.61,few clouds
223,Opuwo,NA,-18.0607,13.84,87.15,15,79,18.07,broken clouds
224,Kristiinankaupunki,FI,62.2743,21.376,37.72,96,100,9.04,light rain
225,Mudon,MM,16.2578,97.7164,78.75,84,29,2.48,scattered clouds
226,Hasaki,JP,35.7333,140.8333,43.2,62,64,10.67,broken clouds
227,Iguala,MX,18.3438,-99.5372,83.64,41,0,2.13,clear sky
228,Udachnyy,RU,66.4167,112.4,-23.22,100,82,4.36,broken clouds
229,Monrovia,LR,6.3005,-10.7969,89.37,77,72,7.56,light rain
230,Marawi,PH,7.9986,124.2928,67.64,93,71,2.51,broken clouds
231,Praia,CV,14.9215,-23.5087,79.34,78,20,11.5,few clouds
232,Cayenne,GF,4.9333,-52.3333,87.84,80,0,1.01,clear sky
233,Kirakira,SB,-10.4544,161.9205,78.71,82,100,3.91,overcast clouds
234,Nemuro,JP,43.3236,145.575,41.11,69,20,28.61,few clouds
235,Kaniama,CD,-7.5667,24.1833,72.61,75,97,4.63,overcast clouds
236,Bilibino,RU,68.0546,166.4372,-20.58,99,49,4.32,scattered clouds
237,Mildura,AU,-34.2,142.15,60.76,59,75,8.05,broken clouds
238,Mahebourg,MU,-20.4081,57.7,74.25,69,40,11.25,scattered clouds
239,Fortuna,US,40.5982,-124.1573,53.37,73,90,1.99,overcast clouds
240,Seoul,KR,37.5683,126.9778,49.44,65,73,1.97,broken clouds
241,Villa Union,MX,23.2,-106.2333,82.9,41,1,0.0,clear sky
242,Tamworth,GB,52.634,-1.6959,54.64,83,20,5.01,few clouds
243,Marsh Harbour,BS,26.5412,-77.0636,74.03,84,100,19.51,overcast clouds
244,Kushima,JP,31.4583,131.2333,54.12,64,0,5.39,clear sky
245,Mount Gambier,AU,-37.8333,140.7667,44.85,83,95,4.99,overcast clouds
246,Hare Bay,CA,48.8499,-54.0148,49.19,93,100,17.72,overcast clouds
247,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,94,100,10.58,overcast clouds
248,Busilac,PH,16.477,121.1186,72.12,97,57,2.44,broken clouds
249,Havoysund,NO,70.9963,24.6622,37.63,98,100,10.29,light rain
250,Bambous Virieux,MU,-20.3428,57.7575,74.21,68,35,10.85,scattered clouds
251,Bundaberg,AU,-24.85,152.35,68.22,92,2,0.0,clear sky
252,Malpe,IN,13.35,74.7167,78.1,89,100,3.96,overcast clouds
253,Praya,CV,14.9215,-23.5087,79.34,78,20,11.5,few clouds
254,Arrecife,ES,28.963,-13.5477,75.18,50,40,13.8,scattered clouds
255,North Bend,US,43.4065,-124.2243,50.86,94,90,4.61,overcast clouds
256,Kulhudhuffushi,MV,6.6221,73.07,81.75,71,55,19.17,broken clouds
257,Morehead,US,37.2711,-87.1764,42.15,51,1,4.0,clear sky
258,Chicama,PE,-7.8447,-79.1469,64.94,62,99,9.78,overcast clouds
259,Umm Lajj,SA,25.0213,37.2685,77.76,56,3,15.84,clear sky
260,Srivardhan,IN,18.0333,73.0167,79.32,81,100,2.17,overcast clouds
261,Narsaq,GL,60.9167,-46.05,21.42,73,100,3.0,overcast clouds
262,Laguna,US,38.421,-121.4238,62.01,94,90,1.99,mist
263,Hualmay,PE,-11.0964,-77.6139,68.92,72,94,9.1,overcast clouds
264,Mutoko,ZW,-17.397,32.2268,75.04,48,89,10.6,light rain
265,Booue,GA,-0.0921,11.9385,75.92,92,77,4.83,light rain
266,Dingle,PH,10.9995,122.6711,75.88,91,56,1.9,broken clouds
267,Elizabeth City,US,36.2946,-76.2511,55.02,43,1,1.01,clear sky
268,Dondo,MZ,-19.6094,34.7431,80.11,83,86,7.49,overcast clouds
269,Iquitos,PE,-3.7481,-73.2472,89.64,66,40,5.75,scattered clouds
270,Puerto Parra,CO,6.6515,-74.0573,89.44,53,88,1.3,overcast clouds
271,Harper,LR,4.375,-7.7169,83.48,73,26,9.48,scattered clouds
272,Caravelas,BR,-17.7125,-39.2481,84.22,64,37,11.81,scattered clouds
273,Sibolga,ID,1.7427,98.7792,76.69,86,69,3.42,broken clouds
274,Salalah,OM,17.0151,54.0924,78.89,78,40,3.44,scattered clouds
275,Adrano,IT,37.6618,14.8348,58.23,91,25,4.07,scattered clouds
276,Luderitz,NA,-26.6481,15.1594,67.53,59,0,26.89,clear sky
277,Erzin,TR,36.9559,36.2,63.12,51,100,2.3,overcast clouds
278,Bouza,NE,14.4229,6.0428,89.15,12,27,7.38,scattered clouds
279,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,29.14,58,1,1.21,clear sky
